sentence,label,llm_label
"if you aren't thin , you're nobody .",0,0
"But it wasn ’ t just you who was involved , right ? You were only doing what your supervisor told you to do .",0,0
"Hello , Miao Ping . I'd like to open a Foreign Currency Account today .",0,0
You are not really chubby . You are actually thin enough .,0,0
Cute ? Hope so .,0,0
"Oh , your precious game . You watch the same game every year , and each year your beloved hometown team loses by at least three goals !",0,0
Did anyone approach you to ask you to carry anything for them ?,0,0
"Oh , you mean Pavarotti , Domingo and Carreras . Have you been to their live shows ?",0,0
"Great . Well , the main issue here , as you can see is that our expenses are through the roof .",0,0
Would you mind if I ask you whether you are married or not ?,0,0
How long has it been ?,0,0
It's us .,0,0
"Hi , there . Look at these . I have collected some ads here . There is a special promotion for Mother's Day this weekend .",0,0
All right . What is your type of skin ?,0,0
"No , I am single .",0,0
"All right , then let's begin .",0,0
"Good morning , sir . Could I be of any service to you ?",0,0
"It's ... oh it's the 1st April , April Fool's Day .",0,0
Loan me that tape recorder you have . And don't say anything to anyone until I come back .,0,0
"Good evening , miss . Want some socks ?",0,0
Who won ?,0,0
"I want to take out some money , but there's a massive queue for the ATM so I thought I'd do it over the counter .",0,0
Exactly .,0,0
One thing I love our boss for is that he always knows when to give you a pay raise without being asked for .,0,0
Not really . It pinches my toes .,0,0
Thanks a lot .,0,0
Not at all . I ’ m an agnostic . Do you ?,0,0
There are plenty of rugby fans in my country too .,0,0
"You are fine the way you are . Besides , plastic surgery hurts .",1,0
"Excuse me , ma'ma . Could you walk back through the doorway again , please ?",0,0
"Oh , I see . If I buy more than a set , can I get any discount ?",0,0
where will I be staying ?,1,0
"Okay . I have canceled your reservation , Mr . Smith .",0,0
Don ’ t count on it .,0,0
"Yes , what kind of smell do you like ?",0,0
They ’ re really running you into the ground . Why don ’ t you ask for some time off ? You could take a long weekend and go away somewhere .,0,0
"Yes , thanks . By the way , what time do I have to start check-in ?",0,0
Some grape juice would also be nice .,0,0
Yes . This is Janet Smith . I ’ d like to make an appointment with Dr . Mustn as soon as possible .,1,1
"Sorry , I'm very near sighted .",0,0
I'm tired . I need a rest .,1,0
"Hey , I've always gone hunting or fishing on vacation . I am sorry that bothers you .",0,0
It ’ s too bad that you have to leave so early .,0,0
"Will this do ? Your major is not related to banking , as you know .",1,0
My pleasure . You're a sweet couple . Do you have any questions ?,0,0
"Don't be too sad . If you really think that you have no feeling with him , then , in my opinion , getting divorced maybe is the best way to solve the problem .",0,0
Yes . I'd like to use a safety deposit box .,0,0
Las Vegas is in the southwest .,0,0
That's a long time ! Was the weather OK ?,0,0
How long does it take you to cook a meal for five or six people ?,0,0
"We hit a couple of local bars , and met up with some friends . Everything was cool until Mike came along , and it turned out that it was his birthday yesterday !",0,0
It looks good . OK . I'll take it .,0,0
"I'm not sure , but as far as I know , most factory tours are free . They are sponsored by the company providing the tour .",0,0
"No , they won't . They are shrink proof .",0,0
"Yes , it's fast . But four minutes is enough to do fifty thousand dollars damage .",0,0
don't mention it .,0,0
"Helen , why do you keep flushing the toilet ? What's wrong ?",0,0
"Thanks . Please give me the style in this picture here but make the wave longer . I would like hair spray , please .",0,0
So what happened next ?,0,0
I think so . Maybe that ’ s why it ’ s cheap here .,0,0
"No , I can't see that happening . I know you're a good cook and nothing like that would ever happen .",0,0
How much ? Is it overweight ?,0,0
She's Betty.She ' s Mr Goldman's niece .,0,0
Thanks .,0,0
"Three , Doctor .",1,0
Seriously ?,0,0
"No problem , this street is nearly built along the both sides of this street.there is stores , restaurant follow the style of tradition chinese building , the guest come there taste very traditional favorite dishes .",0,0
Will you open your mouth ? Your throat is swollen .,1,1
"Work is work , whether it ’ s a part-time or temporary job or a full-time gig .",0,0
When can I take my test ?,0,0
I'll accept your offer .,0,0
"No , Nothing will be kind .",1,0
"Good afternoon , sir . Would you like a tea ?",0,0
What do you have in foundation ?,0,0
"Cindy , I'm scared .",0,0
"Now that I think about it , I can see how you missed it .",0,0
"Oh , any chance of a table by the window ? My wife loves the bird's eye view . As it's her birthday , I want it to be a celebration .",0,0
There are some stains that were left in the carpet .,0,0
