sentence,label
I took my medicine in the morning,1
I went to the pharmacy,1
I had lunch with my daughter,1
I visited the doctor,1
I paid my bills online,1
I watched television for two hours,0
I slept in the afternoon,0
I scrolled on my phone,0
I played a video game,0
I read a magazine,0
I walked in the park for a bit after breakfast,0
I scheduled an appointment with the specialist in the morning,1
I asked my family to remind me about the medication in the evening,1
I wore my heart rate monitor as the doctor advised in the afternoon,1
I reviewed my medication list in the afternoon,1
I organized my heart rate monitor into the weekly pill box in the morning,1
I checked the expiry date on my blood sugar monitor after dinner,1
I measured my blood pressure in the imaging center before bed,1
I wore my heart rate monitor as the doctor advised before bed,1
I used my mobility scooter to get to the kitchen before bed,1
I organized my cane into the weekly pill box after breakfast,1
I took a shower with help from my son at night,1
I watered the plants in the evening,0
I practiced my exercise with the midwife after breakfast,1
I looked through old photo albums for an hour,0
I helped Frank with vacuuming the living room for a short time,0
I checked the radio for messages after dinner,0
I spent for a few minutes on my laptop in the afternoon,0
I sat on the porch and watched the birds during the day,0
I practiced my therapy with the caregiver after dinner,1
I was using the phone to look up more about cooking before bed,0
I checked the expiry date on my oxygen tank before bed,1
I asked my family to remind me about the exercise during the day,1
I felt some nausea so I rested in the afternoon,1
I put the laptop back where it belongs at night,0
I brushed my teeth and did my hygiene routine in the afternoon,1
I applied the wheelchair to my skin during the day,1
I felt some nausea so I rested at night,1
I measured my blood pressure in the adult day care center after dinner,1
I practiced my therapy with the podiatrist in the evening,1
I played a board game during the day,0
I checked my calendar for the next doula visit before bed,1
I asked my family to remind me about the emergency preparedness plan after breakfast,1
I cooked dinner for myself at night,0
I chatted with the neighbor over the fence in the afternoon,0
I was going for a walk and lost track of time after breakfast,0
I recorded my symptoms in a notebook after breakfast,1
I scheduled an appointment with the home care nurse in the morning,1
I helped Grace with folding laundry for an hour,0
I went for a drive around the neighborhood in the morning,0
I scheduled an appointment with the occupational therapist after dinner,1
I updated my daughter about my headache during the day,1
my daughter helped me with my exercise during the day,1
I asked my family to remind me about the insulin shot before bed,1
I spent for two hours listening to music with Eve after dinner,0
I set a reminder to take my vitamins in the morning,1
I reviewed my medication list during the day,1
I scheduled an appointment with the doctor before bed,1
I was reading a book and lost track of time after dinner,0
I followed my blood test plan during the day,1
I felt like meditation would be a nice way to spend the after breakfast,0
I felt some headache so I rested at night,1
I looked through old photo albums for a few minutes,0
I listened to music while resting before bed,0
I used my glucometer to get to the kitchen in the afternoon,1
I misplaced the radio while I was watering the plants at night,0
I felt some memory loss so I rested in the evening,1
I felt some fatigue so I rested after dinner,1
I went for a drive around the neighborhood before bed,0
I brushed my teeth and did my hygiene routine during the day,1
I spent for a while on my gaming console during the day,0
I spent for two hours organizing the closet today,0
I went to the park for some meditation for a short time,0
I practiced traveling for an hour during the day,0
I went to the park for some doing puzzles for two hours,0
I put the decorations back where it belongs in the morning,0
I walked in the park for a bit in the evening,0
I reviewed my medication list in the evening,1
I swept the living room floor during the day,0
I spent for two hours on my headphones in the morning,0
I invited Heidi over for some volunteering at night,0
I updated my caregiver about my memory loss after breakfast,1
I practiced a few chords on the guitar after breakfast,0
I set a reminder to take my wheelchair after dinner,1
I updated my friend about my sore throat in the afternoon,1
I applied the medical bracelet to my skin at night,1
I brushed my teeth and did my hygiene routine after dinner,1
I wore my fitness tracker as the doctor advised after dinner,1
I did a puzzle before bed,0
I did a puzzle after breakfast,0
I scheduled an appointment with the midwife at night,1
I spent for a while on my TV after breakfast,0
I called the urologist to confirm my visit in the morning,1
